Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
10/5/1990,311.5,314.7900085,305.7600098,312.6900024,153380000
10/8/1990,313.480011,315.0299988,311.5,311.5,99470000
10/9/1990,305.1000061,313.4599915,305.0899963,313.4599915,145610000
10/10/1990,300.3900146,306.4299927,299.2099915,305.0899963,169190000
10/11/1990,295.4599915,301.4500122,294.5100098,300.3900146,180060000
10/12/1990,300.0299988,301.6799927,295.2200012,295.4500122,187940000
10/15/1990,303.230011,304.7900085,296.4100037,300.0299988,164980000
10/16/1990,298.9200134,304.3399963,298.1199951,303.230011,149570000
10/17/1990,298.7600098,301.5,297.7900085,298.9200134,161260000
10/18/1990,305.7399902,305.7399902,298.75,298.75,204110000
10/19/1990,312.480011,312.480011,305.7399902,305.7399902,221480000
10/22/1990,314.7600098,315.8299866,310.4700012,312.480011,152650000
10/23/1990,312.3599854,315.0599976,312.0599976,314.7600098,146300000
10/24/1990,312.6000061,313.5100098,310.7399902,312.3599854,149290000
10/25/1990,310.1700134,313.7099915,309.7000122,312.6000061,141460000
10/26/1990,304.7099915,310.1700134,304.7099915,310.1700134,130190000
10/29/1990,301.8800049,307.4100037,300.6900024,304.7399902,133980000
10/30/1990,304.0599976,304.3599854,299.4400024,301.8800049,153450000
10/31/1990,304,305.7000122,302.3299866,304.0599976,156060000
11/1/1990,307.019989,307.269989,301.6099854,303.9899902,159270000
11/2/1990,311.8500061,311.9400024,306.8800049,307.019989,168700000
11/5/1990,314.5899963,314.6099854,311.4100037,311.8500061,147510000
11/6/1990,311.6199951,314.7600098,311.4299927,314.5899963,142660000
11/7/1990,306.0100098,311.6199951,305.7900085,311.6199951,149130000
11/8/1990,307.6099854,309.769989,305.0299988,306.0100098,155570000
11/9/1990,313.7399902,313.7799988,307.6099854,307.6099854,145160000
11/12/1990,319.480011,319.769989,313.730011,313.7399902,161390000
11/13/1990,317.6700134,319.480011,317.2600098,319.480011,160240000
11/14/1990,320.3999939,321.7000122,317.230011,317.6600037,179310000
11/15/1990,317.019989,320.3999939,316.1300049,320.3999939,151370000
11/16/1990,317.1199951,318.7999878,314.9899902,317.019989,165440000
11/19/1990,319.3399963,319.3900146,317.1499939,317.1499939,140950000
11/20/1990,315.3099976,319.3399963,315.3099976,319.3399963,161170000
11/21/1990,316.0299988,316.1499939,312.4200134,315.3099976,140660000
11/23/1990,315.1000061,317.2999878,315.0599976,316.0299988,63350000
11/26/1990,316.5100098,316.5100098,311.480011,315.0799866,131540000
11/27/1990,318.1000061,318.6900024,315.7999878,316.5100098,147590000
11/28/1990,317.9500122,319.9599915,317.6199951,318.1099854,145490000
11/29/1990,316.4200134,317.9500122,315.0299988,317.9500122,140920000
11/30/1990,322.2200012,323.019989,315.4200134,316.4200134,192350000
12/3/1990,324.1000061,324.8999939,322.230011,322.230011,177000000
12/4/1990,326.3500061,326.769989,321.9700012,324.1099854,185820000
12/5/1990,329.9200134,329.9200134,325.6600037,326.3599854,205820000
12/6/1990,329.0700073,333.980011,328.3699951,329.9400024,256380000
12/7/1990,327.75,329.3900146,326.3900146,329.0899963,164950000
12/10/1990,328.8900146,328.9700012,326.1499939,327.75,138650000
12/11/1990,326.4400024,328.8800049,325.6499939,328.8800049,145330000
12/12/1990,330.1900024,330.3599854,326.4400024,326.4400024,182270000
12/13/1990,329.3399963,330.5799866,328.769989,330.1400146,162110000
12/14/1990,326.8200073,329.3399963,325.1600037,329.3399963,151010000
12/17/1990,326.019989,326.8200073,324.4599915,326.8200073,118560000
